epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,324.889,0.31323,0.44229,0.36067,0.93333,0.91409,0.91803,0.92434,0.79592,0.84432,0.90164,0.88867,0.77406,0.50013,1.20579,0.70536,0.88001,0.0007328,0.0007328,0.0007328
66,329.877,0.31766,0.42985,0.35235,0.94511,0.92357,0.85246,0.9067,0.81656,0.90581,0.83607,0.88269,0.77899,0.47595,1.23328,0.80515,0.8443,0.000713,0.000713,0.000713
67,334.83,0.34071,0.63797,0.35714,0.93714,0.89447,0.90164,0.89838,0.82586,0.90972,0.86885,0.88053,0.77987,0.49301,1.13431,0.81024,0.83237,0.0006932,0.0006932,0.0006932
68,339.949,0.33542,0.4973,0.35406,0.94437,0.97338,0.85246,0.92975,0.82861,0.88329,0.91803,0.91846,0.78749,0.44268,1.1742,0.6731,0.80271,0.0006734,0.0006734,0.0006734
69,344.902,0.32406,0.53193,0.33593,0.94746,0.9295,0.86454,0.89603,0.82328,0.8707,0.91803,0.8943,0.75821,0.46569,1.3533,0.62254,0.81614,0.0006536,0.0006536,0.0006536
70,349.883,0.30979,0.41942,0.32544,0.94578,0.95527,0.86885,0.90747,0.79701,0.91859,0.83607,0.89234,0.77532,0.49333,1.1999,0.64603,0.83225,0.0006338,0.0006338,0.0006338
71,354.813,0.29054,0.41486,0.3412,0.93209,0.98138,0.86396,0.92297,0.82244,0.96275,0.84756,0.89556,0.78357,0.45145,1.24688,0.62974,0.82847,0.000614,0.000614,0.000614
72,359.833,0.30008,0.55929,0.32029,0.9477,0.90919,0.86885,0.91866,0.80739,0.90876,0.81643,0.88129,0.77322,0.46331,1.18207,0.62355,0.85668,0.0005942,0.0005942,0.0005942
73,364.919,0.32611,0.43314,0.3475,0.93648,0.89626,0.84978,0.91127,0.82297,0.87899,0.83355,0.8864,0.78762,0.43688,1.19293,0.54401,0.81643,0.0005744,0.0005744,0.0005744
74,369.928,0.31014,0.38332,0.32294,0.93971,0.9401,0.88525,0.92599,0.84669,0.92157,0.86885,0.91387,0.81257,0.43296,1.20399,0.51817,0.83386,0.0005546,0.0005546,0.0005546
75,374.899,0.31469,0.4913,0.32397,0.94339,0.92713,0.83435,0.93037,0.85123,0.83377,0.88525,0.91478,0.81968,0.42672,1.02727,0.54251,0.85331,0.0005348,0.0005348,0.0005348
76,379.836,0.28733,0.4195,0.30601,0.93191,0.9463,0.86671,0.90813,0.80594,0.91053,0.83424,0.88091,0.8043,0.49065,0.90357,0.58544,0.89893,0.000515,0.000515,0.000515
77,384.697,0.30255,0.43453,0.31489,0.94041,0.9569,0.83607,0.90948,0.83659,0.87702,0.85246,0.89376,0.81408,0.43832,0.95583,0.60783,0.8169,0.0004952,0.0004952,0.0004952
78,389.595,0.30277,0.36754,0.30957,0.93686,0.9593,0.86885,0.91976,0.85749,0.9412,0.85246,0.89969,0.81172,0.40519,1.1912,0.54739,0.77963,0.0004754,0.0004754,0.0004754
79,394.473,0.29956,0.38496,0.31535,0.93109,0.94537,0.85113,0.86359,0.7767,0.94537,0.85113,0.86195,0.74796,0.4199,1.3323,0.77439,0.79737,0.0004556,0.0004556,0.0004556
80,399.385,0.30925,0.36376,0.32115,0.92535,0.93299,0.91308,0.90522,0.83647,0.91626,0.89693,0.89149,0.78814,0.36807,1.18284,0.61714,0.77196,0.0004358,0.0004358,0.0004358
81,404.322,0.3128,0.38313,0.3195,0.93221,0.82491,0.92687,0.90951,0.84943,0.81048,0.91145,0.88937,0.80471,0.38574,1.16562,0.55716,0.77515,0.000416,0.000416,0.000416
82,409.194,0.28014,0.39446,0.29797,0.92372,0.87296,0.90119,0.9125,0.83657,0.8573,0.88638,0.89125,0.81079,0.41341,0.96739,0.55377,0.8122,0.0003962,0.0003962,0.0003962
83,414.155,0.28186,0.4146,0.30387,0.91984,0.83286,0.91803,0.91288,0.8333,0.81799,0.90164,0.89767,0.81671,0.42029,0.90503,0.59703,0.82274,0.0003764,0.0003764,0.0003764
84,419.048,0.28404,0.373,0.30338,0.91694,0.92286,0.85246,0.9246,0.83601,0.92286,0.85246,0.91727,0.82763,0.40112,0.9496,0.6058,0.80171,0.0003566,0.0003566,0.0003566
85,423.982,0.29465,0.41246,0.30252,0.92638,0.91045,0.83339,0.90824,0.83347,0.91045,0.83339,0.90303,0.81602,0.41529,1.08611,0.59476,0.79956,0.0003368,0.0003368,0.0003368
86,428.937,0.27733,0.43272,0.29615,0.92109,0.88682,0.89919,0.92627,0.84831,0.86514,0.90164,0.91282,0.83424,0.37055,1.02829,0.5456,0.77706,0.000317,0.000317,0.000317
87,433.955,0.25998,0.36962,0.29231,0.91881,0.9149,0.88525,0.92335,0.85093,0.89755,0.86885,0.91245,0.83289,0.37005,0.93715,0.57022,0.77882,0.0002972,0.0002972,0.0002972
88,438.933,0.25235,0.3175,0.27281,0.91565,0.89531,0.90164,0.9041,0.83848,0.86263,0.86885,0.88528,0.8181,0.38666,0.85011,0.62158,0.80503,0.0002774,0.0002774,0.0002774
89,443.819,0.26896,0.50292,0.27885,0.91101,0.90755,0.88525,0.90065,0.83716,0.86925,0.85246,0.87984,0.81441,0.37322,0.86202,0.60046,0.78736,0.0002576,0.0002576,0.0002576
90,448.834,0.26443,0.35739,0.27762,0.90417,0.91289,0.85911,0.8972,0.82735,0.87805,0.82632,0.88598,0.81062,0.3843,0.88293,0.66568,0.79153,0.0002378,0.0002378,0.0002378
91,466.106,0.22014,0.71356,0.55214,0.90262,0.93202,0.89906,0.92349,0.8527,0.91504,0.88289,0.91927,0.83473,0.35789,0.93794,0.53524,0.77091,0.000218,0.000218,0.000218
92,471.153,0.18973,0.28639,0.24978,0.91078,0.93016,0.90164,0.92351,0.85634,0.93016,0.90164,0.92324,0.83846,0.33189,1.12265,0.45648,0.73349,0.0001982,0.0001982,0.0001982
93,476.115,0.1931,0.28046,0.21911,0.91027,0.91735,0.91803,0.92636,0.86764,0.91735,0.91803,0.92636,0.8475,0.3436,1.2336,0.45224,0.7275,0.0001784,0.0001784,0.0001784
94,481.047,0.19075,0.22451,0.20417,0.88664,0.93018,0.90164,0.93746,0.88983,0.93018,0.90164,0.93746,0.87185,0.33457,1.21677,0.47674,0.72329,0.0001586,0.0001586,0.0001586
95,485.979,0.18724,0.28612,0.21416,0.89348,0.90016,0.93443,0.94543,0.89995,0.90016,0.93443,0.94543,0.88835,0.32749,1.00129,0.46106,0.70616,0.0001388,0.0001388,0.0001388
96,490.927,0.16796,0.24119,0.18017,0.8611,0.89147,0.95082,0.94624,0.89873,0.89147,0.95082,0.94624,0.88744,0.3102,0.9057,0.41674,0.69729,0.000119,0.000119,0.000119
97,495.831,0.20007,0.35242,0.198,0.91348,0.90283,0.93443,0.94875,0.90619,0.90283,0.93443,0.94875,0.89061,0.32707,0.85227,0.44186,0.7237,9.92e-05,9.92e-05,9.92e-05
98,500.897,0.16181,0.23289,0.17585,0.87936,0.91887,0.92846,0.94825,0.90203,0.91887,0.92846,0.94825,0.88918,0.32281,0.83158,0.42502,0.71707,7.94e-05,7.94e-05,7.94e-05
99,505.772,0.15139,0.35452,0.1681,0.86666,0.91302,0.91803,0.94534,0.89535,0.91302,0.91803,0.94534,0.88761,0.3338,0.81703,0.45222,0.71663,5.96e-05,5.96e-05,5.96e-05
100,510.673,0.15564,0.2955,0.16567,0.85882,0.91251,0.91803,0.94499,0.8931,0.91251,0.91803,0.94499,0.88487,0.32753,0.81239,0.43805,0.71224,3.98e-05,3.98e-05,3.98e-05
